nNo
2380
X0    X1   No   
0 0 0
10 0 1
10 0.0178 2
0 0.0178 3
0.1265822784809199 0 4
0.2531645569618416 0 5
0.3797468354427296 0 6
0.5063291139235955 0 7
0.6329113924045084 0 8
0.7594936708854326 0 9
0.886075949366357 0 10
1.012658227847281 0 11
1.139240506328205 0 12
1.26582278480906 0 13
1.392405063289738 0 14
1.518987341770381 0 15
1.645569620251024 0 16
1.772151898731667 0 17
1.89873417721231 0 18
2.025316455692953 0 19
2.151898734173596 0 20
2.278481012654239 0 21
2.405063291134882 0 22
2.531645569615525 0 23
2.658227848096168 0 24
2.784810126576811 0 25
2.911392405057454 0 26
3.037974683538096 0 27
3.164556962018739 0 28
3.291139240499382 0 29
3.417721518980025 0 30
3.544303797460668 0 31
3.670886075941311 0 32
3.797468354421954 0 33
3.924050632902596 0 34
4.050632911383387 0 35
4.177215189864566 0 36
4.30379746834577 0 37
4.430379746826977 0 38
4.556962025308181 0 39
4.683544303789386 0 40
4.810126582270591 0 41
4.936708860751796 0 42
5.063291139233002 0 43
5.189873417714207 0 44
5.316455696195411 0 45
5.443037974676618 0 46
5.569620253157822 0 47
5.696202531639027 0 48
5.822784810120233 0 49
5.949367088601437 0 50
6.075949367082643 0 51
6.202531645563848 0 52
6.329113924045052 0 53
6.455696202526259 0 54
6.582278481007463 0 55
6.708860759488667 0 56
6.835443037969874 0 57
6.962025316451078 0 58
7.088607594932284 0 59
7.215189873413489 0 60
7.341772151894693 0 61
7.468354430375898 0 62
7.594936708857104 0 63
7.721518987338309 0 64
7.848101265819514 0 65
7.974683544300719 0 66
8.101265822781924 0 67
8.227848101263129 0 68
8.354430379744334 0 69
8.48101265822554 0 70
8.607594936706743 0 71
8.73417721518795 0 72
8.860759493669155 0 73
8.987341772150359 0 74
9.113924050631564 0 75
9.240506329112769 0 76
9.367088607593974 0 77
9.493670886075181 0 78
9.620253164556384 0 79
9.74683544303759 0 80
9.873417721518795 0 81
0.04219409282697203 0 82
0.08438818565394607 0 83
0.1687763713078939 0 84
0.2109704641348673 0 85
0.2953586497888108 0 86
0.3375527426157723 0 87
0.421940928269686 0 88
0.4641350210966406 0 89
0.5485232067505681 0 90
0.5907172995775324 0 91
0.6751054852314825 0 92
0.7172995780584567 0 93
0.8016877637124089 0 94
0.8438818565393822 0 95
0.9282700421933315 0 96
0.9704641350203048 0 97
1.054852320674266 0 98
1.097046413501239 0 99
1.181434599155162 0 100
1.223628691982113 0 101
1.308016877635954 0 102
1.350210970462846 0 103
1.43459915611665 0 104
1.476793248943516 0 105
1.561181434597272 0 106
1.603375527424171 0 107
1.687763713077881 0 108
1.72995780590477 0 109
1.814345991558534 0 110
1.856540084385415 0 111
1.940928270039202 0 112
1.983122362866078 0 113
2.067510548519847 0 114
2.109704641346714 0 115
2.194092827000469 0 116
2.236286919827365 0 117
2.320675105481118 0 118
2.362869198308013 0 119
2.447257383961784 0 120
2.489451476788626 0 121
2.573839662442437 0 122
2.616033755269302 0 123
2.700421940923079 0 124
2.742616033749946 0 125
2.827004219403679 0 126
2.869198312230592 0 127
2.953586497884308 0 128
2.995780590711222 0 129
3.080168776364927 0 130
3.12236286919182 0 131
3.206751054845598 0 132
3.248945147672472 0 133
3.3333333333263 0 134
3.375527426153168 0 135
3.459915611806904 0 136
3.502109704633809 0 137
3.586497890287585 0 138
3.628691983114475 0 139
3.713080168768153 0 140
3.755274261595042 0 141
3.83966244724881 0 142
3.88185654007568 0 143
3.966244725729542 0 144
4.008438818556467 0 145
4.092827004210475 0 146
4.135021097037507 0 147
4.219409282691618 0 148
4.261603375518725 0 149
4.345991561172839 0 150
4.3881856539999 0 151
4.472573839654062 0 152
4.514767932481115 0 153
4.59915611813524 0 154
4.641350210962327 0 155
4.725738396616435 0 156
4.767932489443539 0 157
4.85232067509768 0 158
4.894514767924749 0 159
4.978902953578698 0 160
5.02109704640576 0 161
5.105485232060079 0 162
5.147679324887102 0 163
5.23206751054127 0 164
5.274261603368387 0 165
5.358649789022488 0 166
5.400843881849511 0 167
5.485232067503666 0 168
5.527426160330774 0 169
5.611814345984927 0 170
5.65400843881195 0 171
5.738396624466098 0 172
5.780590717293162 0 173
5.864978902947301 0 174
5.907172995774382 0 175
5.991561181428535 0 176
6.033755274255571 0 177
6.118143459909717 0 178
6.160337552736765 0 179
6.244725738390961 0 180
6.28691983121798 0 181
6.371308016872142 0 182
6.41350210969919 0 183
6.497890295353306 0 184
6.540084388180404 0 185
6.624472573834569 0 186
6.666666666661589 0 187
6.751054852315699 0 188
6.793248945142798 0 189
6.87763713079693 0 190
6.919831223623985 0 191
7.00421940927812 0 192
7.046413502105215 0 193
7.130801687759352 0 194
7.17299578058642 0 195
7.257383966240592 0 196
7.299578059067642 0 197
7.383966244721725 0 198
7.426160337548842 0 199
7.510548523202983 0 200
7.552742616030057 0 201
7.637130801684135 0 202
7.679324894511252 0 203
7.763713080165387 0 204
7.805907172992414 0 205
7.890295358646593 0 206
7.932489451473625 0 207
8.016877637127793 0 208
8.05907172995491 0 209
8.143459915608933 0 210
8.185654008435998 0 211
8.270042194090259 0 212
8.312236286917257 0 213
8.396624472571382 0 214
8.438818565398414 0 215
8.523206751052584 0 216
8.565400843879672 0 217
8.6497890295338 0 218
8.691983122360853 0 219
8.77637130801507 0 220
8.8185654008421 0 221
8.902953586496336 0 222
8.945147679323247 0 223
9.029535864977339 0 224
9.071729957804489 0 225
9.156118143458627 0 226
9.19831223628568 0 227
9.282700421939822 0 228
9.324894514766905 0 229
9.409282700421015 0 230
9.451476793248135 0 231
9.535864978902366 0 232
9.578059071729282 0 233
9.662447257383345 0 234
9.704641350210615 0 235
9.789029535864668 0 236
9.831223628691721 0 237
9.915611814345841 0 238
9.957805907172927 0 239
10 0.005933333333317549 240
10 0.01186666666665118 241
10 0.001977777777774056 242
10 0.003955555555546228 243
10 0.007911111111089188 244
10 0.009888888888867612 245
